replay,code,description,xshift,yshift,keypoints,0,30,60,70,74,92,96,108
0,0,success,,,,,,,,,,,
1,0,,,,,,,,,,,,
2,0,,,,,,,,,,,,
3,0,,,,,,,,,,,,
4,0,,,,,,,,,,,,
5,0,,,,,,,,,,,,
6,0,,,,,,,,,,,,
7,0,,,,,,,,,,,,
8,0,,,,,,,,,,,,
9,1,rolling failure,,,,,,,,,,,
10,0,,,,,,,,,,,,
11,0,,,,,,,,,,,,
12,0,,,,,,,,,,,,
13,0,,,,,,,,,,,,
14,0,,,,,,,,,,,,
15,1,,,,,,,,,,,,
16,1,,,,,,,,,,,,
17,1,,,,,,,,,,,,
18,1,,,,,,,,,,,,
19,0,,,,,,,,,,,,
20,0,,,,,,,,,,,,
21,1,,,,,,,,,,,,
22,0,,,,,,,,,,,,
23,0,,,,,,,,,,,,
24,0,,,,,,,,,,,,
25,0,,,,,,,,,,,,
26,0,,,,,,,,,,,,
27,0,,,,,,,,,,,,
28,0,,,,,,,,,,,,
29,0,,,,,,,,,,,,
30,0,,,,,,,,,,,,
31,0,,,,,,,,,,,,
32,0,,,,,,,,,,,,
33,0,,,,,,,,,,,,
34,0,,,,,,,,,,,,
35,1,,,,,,,,,,,,
36,1,,,,,,,,,,,,
37,1,,,,,,,,,,,,
38,1,,,,,,,,,,,,
39,1,,,,,,,,,,,,
40,1,,,,,,,,,,,,
41,0,,,,,,,,,,,,
42,0,,,,,,,,,,,,
43,1,,,,,,,,,,,,
44,0,,,,,,,,,,,,
45,0,,,,,,,,,,,,
46,0,,,,,,,,,,,,
47,0,,,,,,,,,,,,
48,0,,,,,,,,,,,,
49,1,,,,,,,,,,,,
50,2,grip failure,,,,,,,,,,,
51,1,,,,,,,,,,,,
52,2,,,,,,,,,,,,
53,2,,,,,,,,,,,,
54,1,,,,,,,,,,,,
55,1,,,,,,,,,,,,
56,0,,,,,,,,,,,,
57,1,,,,,,,,,,,,
58,1,,,,,,,,,,,,
59,0,,,,,,,,,,,,
60,1,,,,,,,,,,,,
61,0,,,,,,,,,,,,
62,0,,,,,,,,,,,,
63,1,,,,,,,,,,,,
64,0,,,,,,,,,,,,
65,2,,,,,,,,,,,,
66,1,,,,,,,,,,,,
67,1,,,,,,,,,,,,
68,0,,,,,,,,,,,,
69,0,,,,,,,,,,,,
70,2,,,,,,,,,,,,
71,0,,,,,,,,,,,,
72,3,shift failure,,,,,,,,,,,
73,0,,,,,,,,,,,,
74,0,,,,,,,,,,,,
75,2,,,,,,,,,,,,
76,0,,,,,,,,,,,,
77,0,,,,,,,,,,,,
78,0,,,,,,,,,,,,
79,0,,,,,,,,,,,,
80,0,,,,,,,,,,,,
81,0,,,,,,,,,,,,
82,0,,,,,,,,,,,,
83,0,,,,,,,,,,,,
84,0,,,,,,,,,,,,
85,2,,,,,,,,,,,,
86,0,,,,,,,,,,,,
87,0,,,,,,,,,,,,
88,0,,,,,,,,,,,,
89,0,,,,,,,,,,,,
90,0,,,,,,,,,,,,
91,0,,,,,,,,,,,,
92,0,,,,,,,,,,,,
93,0,,,,,,,,,,,,
94,0,,,,,,,,,,,,
95,0,,,,,,,,,,,,
96,0,,,,,,,,,,,,
97,0,,,,,,,,,,,,
98,0,,,,,,,,,,,,
99,0,,,,,,,,,,,,
100,2,,-0.000115397,-0.000851545,,,,,,,,,
101,1,,0.000996144,-0.00330189,,,,,,,,,
102,2,,0.001593113,-0.0019452,,,,,,,,,
103,2,,0.000282595,-0.000305919,,,,,,,,,
104,0,,0.002709829,-0.002749523,,,,,,,,,
105,4,miss failure,0.002363206,0.00223174,,,,,,,,,
106,4,,0.000944212,0.001368947,,,,,,,,,
107,4,,-0.00027408,0.000305072,,,,,,,,,
108,4,,0.004017755,-0.001860348,,,,,,,,,
109,2,,-0.004310004,0.001323186,,,,,,,,,
110,4,,0.002298159,-0.001223697,,,,,,,,,
111,4,,-0.000682013,0.004347329,,,,,,,,,
112,1,,-0.002493233,-0.004175658,,,,,,,,,
113,4,,-0.001500154,0.001299095,,,,,,,,,
114,2,,0.001038783,-0.001812176,,,,,,,,,
115,2,,-0.002982039,0.001363641,,,,,,,,,
116,4,,0.004397396,-0.000674337,,,,,,,,,
117,0,,-0.00137327,-0.004743261,,,,,,,,,
118,1,,0.001848273,-0.002774985,,,,,,,,,
119,1,,-0.003003417,-0.003366123,,,,,,,,,
120,0,,-0.002250077,0.000145656,,,,,,,,,
121,0,,-0.0013441,-0.001419404,,,,,,,,,
122,4,,-5.11E-05,0.00030366,,,,,,,,,
123,2,,-0.000769268,-0.001742255,,,,,,,,,
124,4,,0.001603728,0.000467686,,,,,,,,,
125,4,,0.002934185,-0.000833296,,,,,,,,,
126,4,,0.000436017,0.002912513,,,,,,,,,
127,1,,0.002226239,-0.00390797,,,,,,,,,
128,4,,0.002874641,0.001414381,,,,,,,,,
129,4,,0.0015142,0.001715413,,,,,,,,,
130,4,,-0.000166526,0.001508595,,,,,,,,,
131,4,,0.003523181,0.00312995,,,,,,,,,
132,2,,0.002866354,-0.001914505,,,,,,,,,
133,2,,-0.000226634,-0.001006875,,,,,,,,,
134,4,,0.001560187,0.002615665,,,,,,,,,
135,4,,0.000944338,0.001686632,,,,,,,,,
136,4,,-0.002967739,0.001887559,,,,,,,,,
137,2,,-0.001535728,-0.000919499,,,,,,,,,
138,4,,0.003088422,0.00075139,,,,,,,,,
139,4,,0.001051311,0.000580947,,,,,,,,,
140,1,,-0.002829317,-0.002808736,,,,,,,,,
141,0,,0.001970236,-0.00148581,,,,,,,,,
142,4,,0.000382778,0.001522518,,,,,,,,,
143,0,,-0.004184994,-0.001322869,,,,,,,,,
144,1,,-0.000249367,-0.003077256,,,,,,,,,
145,0,,0.003220705,-0.002169995,,,,,,,,,
146,4,,0.004359263,-0.001753223,,,,,,,,,
147,0,,0.000702225,-0.003477397,,,,,,,,,
148,4,,-0.003167609,0.001745343,,,,,,,,,
149,2,,-0.002405152,-0.001760545,,,,,,,,,
150,2,,0.000587074,-0.001480616,,,,,,,,,
151,1,,0.003325849,-0.000186794,,,,,,,,,
152,4,,-0.00311048,0.002124597,,,,,,,,,
153,0,,0.002983161,-0.0037602,,,,,,,,,
154,2,,0.000375022,0.000380968,,,,,,,,,
155,4,,0.00050067,0.001275486,,,,,,,,,
156,2,,-0.004843536,0.000931293,,,,,,,,,
157,2,,-0.000434891,-0.000989798,,,,,,,,,
158,0,,0.000536355,-0.00486575,,,,,,,,,
159,2,,-4.88E-05,0.000267086,,,,,,,,,
160,2,,-0.002378565,0.00079538,,,,,,,,,
161,4,,-0.001540374,0.002095101,,,,,,,,,
162,4,,0.000346776,0.003293079,,,,,,,,,
163,4,,-0.001210176,0.004824359,,,,,,,,,
164,2,,0.00092847,0.000462449,,,,,,,,,
165,2,lift and drop,0.000406659,0.000246161,,,,,,,,,
166,1,,0.003352688,0.001120316,,,,,,,,,
167,2,,0.001713553,-0.001876555,,,,,,,,,
168,0,,-0.002889948,-0.003284878,,,,,,,,,
169,0,,-0.000258301,-0.000279763,,,,,,,,,
170,0,,-0.000820231,-0.002490156,,,,,,,,,
171,0,,-0.000785174,-0.002888202,,,,,,,,,
172,0,,-0.004227627,-7.30E-06,,,,,,,,,
173,2,,0.000544225,0.000646563,,,,,,,,,
174,4,,-0.000575777,0.001973052,,,,,,,,,
175,0,,0.002171631,-0.00156688,,,,,,,,,
176,2,,0.002030133,-0.000732194,,,,,,,,,
177,0,,0.000658941,-0.002317981,,,,,,,,,
178,4,,-0.003780202,0.002806967,,,,,,,,,
179,3,,-0.001709459,-0.003943277,,,,,,,,,
180,4,,-0.001894737,0.004431753,,,,,,,,,
181,0,,1.62E-05,2.69E-05,,,,,,,,,
182,4,,0.003359109,0.000538536,,,,,,,,,
183,4,,-0.000456525,-0.000715916,,,,,,,,,
184,4,,0.002918311,0.001745315,,,,,,,,,
185,2,,0.000339177,0.003633652,,,,,,,,,
186,2,,0.001408099,0.001188096,,,,,,,,,
187,4,,0.001458529,0.000631567,,,,,,,,,
188,4,,0.001820934,0.003673738,,,,,,,,,
189,0,,0.002455172,-0.002944098,,,,,,,,,
190,4,,0.000441905,0.00316287,,,,,,,,,
191,0,,0.000735875,-0.0046604,,,,,,,,,
192,0,,-0.000141465,-0.002044669,,,,,,,,,
193,0,,0.001391456,-0.001528409,,,,,,,,,
194,4,,-0.000351568,0.003432009,,,,,,,,,
195,4,,0.000342345,-0.000168345,,,,,,,,,
196,0,,-0.002819352,0.000156955,,,,,,,,,
197,0,,0.000303951,-0.00300917,,,,,,,,,
198,4,,-0.000746183,0.003053984,,,,,,,,,
199,4,,0.002268405,0.000679807,,,,,,,,,
